"placeID","state","latitude.y","longitude.y","franchise","price","alcohol","latitude","longitude","rating","reviews","dist_res_uni"
132560,"Tamaulipas",23.7523041,-99.1669133,"f","low","No_Alcohol_Served",23.730476,-99.1523582,0.5,4,1.76881620211726
132561,"Tamaulipas",23.726819,-99.1265059,"f","low","No_Alcohol_Served",23.730476,-99.1523582,1,3,1.65639728662769
132564,"Tamaulipas",23.7309245,-99.1451848,"f","low","No_Alcohol_Served",23.730476,-99.1523582,1.25,4,0.455271299389682
132572,"San Luis Potosi",22.1416471,-100.9927118,"f","low","No_Alcohol_Served",22.1533101,-100.9783239,0.89,9,1.22490001408367
132583,"Morelos",18.9222904,-99.234332,"t","low","No_Alcohol_Served",18.9738525,-99.2388462,1,3,3.5786222293977
132584,"Tamaulipas",23.7523648,-99.1652879,"t","medium","No_Alcohol_Served",23.730476,-99.1523582,1.25,4,1.72114034723664
132594,"Tamaulipas",23.7521677,-99.165709,"f","low","No_Alcohol_Served",23.730476,-99.1523582,0.6,5,1.7220898462739
132608,"Tamaulipas",23.7588052,-99.1651297,"t","low","No_Alcohol_Served",23.730476,-99.1523582,1,6,2.11973938061736
132609,"Tamaulipas",23.7602683,-99.1658646,"t","low","No_Alcohol_Served",23.730476,-99.1523582,0.6,5,2.23103724818517
132613,"Tamaulipas",23.7529035,-99.165076,"t","medium","No_Alcohol_Served",23.730476,-99.1523582,1,5,1.74778374392161
132626,"Tamaulipas",23.7375834,-99.1351318,"t","medium","No_Alcohol_Served",23.730476,-99.1523582,1.67,3,1.19639774967317
132630,"Tamaulipas",23.7529305,-99.1644725,"f","low","No_Alcohol_Served",23.730476,-99.1523582,1.2,5,1.73218686353299
132654,"Tamaulipas",23.7355234,-99.1295877,"f","low","No_Alcohol_Served",23.730476,-99.1523582,0.33,3,1.48344764785799
132660,"Tamaulipas",23.7529428,-99.1646791,"f","low","No_Alcohol_Served",23.730476,-99.1523582,1.25,4,1.73877873165257
132663,"Tamaulipas",23.7525107,-99.1669536,"f","low","No_Alcohol_Served",23.730476,-99.1523582,0.5,4,1.78235032048702
